SamplingArea,Campaign,SampleSiteID,SampleSiteCode,Month,Day,Year,Longitude,Latitude,EPSG,GPS_source,Elevation_m,VegetationType,Site_Veg,Needles,FieldVegHeightMax_cm,FieldVegHeightMedian_cm,SoilMoisture_%_1,SoilMoisture_%_2,SoilMoisture_%_3,Foliar_IGSN
RM,ER18,1,001-ER18,6,14,2018,38.957229,-106.986098,4326,RTK,2908.8,Meadow,Meadow,FALSE,21,13,6,6,7,IER18005A
RM,ER18,2,002-ER18,6,14,2018,38.957288,-106.9861,4326,RTK,2908.8,Meadow,Meadow,FALSE,42,26,4,6,4,IER18005B
RM,ER18,3,003-ER18,6,14,2018,38.957368,-106.98616,4326,RTK,2908.2,Meadow,Meadow,FALSE,31,17,6,7,5,IER18005C
RM,ER18,4,004-ER18,6,14,2018,38.957477,-106.986105,4326,RTK,2908.3,Meadow,Meadow,FALSE,55,32,5,7,8,IER18005D
RM,ER18,5,005-ER18,6,14,2018,38.957461,-106.986231,4326,RTK,2907.8,Meadow,Meadow,FALSE,59,14,7,13,12,IER18005E
RM,ER18,6,006-ER18,6,14,2018,38.957868,-106.984834,4326,RTK,2915.4,Meadow,Meadow,FALSE,29,21,9,9,9,IER18005F
RM,ER18,7,007-ER18,6,14,2018,38.957824,-106.984753,4326,RTK,2916.4,Meadow,Meadow,FALSE,63,12,6,5,6,IER18005G
RM,ER18,8,008-ER18,6,14,2018,38.957823,-106.984833,4326,RTK,2915.7,Meadow,Meadow,FALSE,57,32,4,5,3,IER18005H
RM,ER18,9,009-ER18,6,14,2018,38.957937,-106.984502,4326,RTK,2918.5,Meadow,Meadow,FALSE,78,35,10,9,7,IER18005I
PH,ER18,10,010-ER18,6,15,2018,38.921891,-106.951893,4326,RTK,2767.7,Meadow,Meadow,FALSE,40,25,10,10,9,IER18005J
PH,ER18,11,011-ER18,6,15,2018,38.921874,-106.952112,4326,RTK,2769.4,Meadow,Meadow,FALSE,26,18,9,9,9,IER18005K
PH,ER18,12,012-ER18,6,15,2018,38.921828,-106.952197,4326,RTK,2770.8,Meadow,Meadow,FALSE,30,25,10,10,9,IER18005L
PH,ER18,13,013-ER18,6,15,2018,38.921662,-106.952406,4326,RTK,2775,Meadow,Meadow,FALSE,45,22,8,7,7,IER18005M
PH,ER18,14,014-ER18,6,15,2018,38.921775,-106.952646,4326,RTK,2776.8,Meadow,Meadow,FALSE,50,35,6,7,8,IER18005N
PH,ER18,15,015-ER18,6,15,2018,38.921582,-106.952623,4326,RTK,2779.5,Meadow,Meadow,FALSE,53,24,11,8,11,IER18005O
PH,ER18,16,016-ER18,6,15,2018,38.921584,-106.952762,4326,RTK,2782.1,Meadow,Meadow,FALSE,75,50,8,8,7,IER18005P
PH,ER18,17,017-ER18,6,15,2018,38.921531,-106.952667,4326,RTK,2781.1,Meadow,Meadow,FALSE,62,48,9,9,7,IER18005Q
PH,ER18,18,018-ER18,6,15,2018,38.921552,-106.95302,4326,RTK,2789.9,Meadow,Meadow,FALSE,50,35,6,8,9,IER18005R
PH,ER18,19,019-ER18,6,15,2018,38.92152,-106.952817,4326,RTK,2785.1,Meadow,Meadow,FALSE,74,49,11,11,10,IER18005S
MtC,ER18,20,020-ER18,6,27,2018,38.991241,-107.06585,4326,RTK,3456.8,Tree,Engelmann,TRUE,,,,,,IER18002I
RM,ER18,21,021-ER18,6,14,2018,38.95691,-106.987486,4326,RTK,2891.5,Shrub,wolfii,FALSE,101.2,,11,10,9,IER1800CN
RM,ER18,22,022-ER18,6,14,2018,38.956973,-106.987406,4326,RTK,2892.1,Shrub,boothii,FALSE,202.1,,19,16,16,IER18000W
RM,ER18,23,023-ER18,6,14,2018,38.957091,-106.986844,4326,RTK,2902.2,Shrub,wolfii,FALSE,96.8,,9,11,11,IER1800CO
RM,ER18,24,024-ER18,6,14,2018,38.957034,-106.986722,4326,RTK,2902.9,Shrub,boothii,FALSE,261.6,,19,16,14,IER18000X
RM,ER18,25,025-ER18,6,14,2018,38.956726,-106.986286,4326,RTK,2909.8,Shrub,PotFru,FALSE,79,,3,4,4,IER1800BF
RM,ER18,26,026-ER18,6,14,2018,38.956511,-106.986464,4326,RTK,2910.7,Shrub,Sage,FALSE,45,,5,4,3,IER1800BT
RM,ER18,27,027-ER18,6,14,2018,38.956822,-106.986191,4326,RTK,2908.4,Shrub,wolfii,FALSE,123,,11,13,10,IER1800CP
RM,ER18,28,028-ER18,6,14,2018,38.956765,-106.986114,4326,RTK,2910.2,Shrub,brachy,FALSE,283,,7,6,6,IER18001Q
RM,ER18,29,029-ER18,6,14,2018,38.956699,-106.985754,4326,RTK,2912.2,Shrub,wolfii,FALSE,87,,7,9,7,IER1800CQ
RM,ER18,30,030-ER18,6,14,2018,38.956705,-106.985928,4326,RTK,2912.6,Shrub,PotFru,FALSE,91,,4,3,4,IER1800BG
RM,ER18,31,031-ER18,6,14,2018,38.95712,-106.986154,4326,RTK,2908.5,Tree,Engelmann,TRUE,,,2,4,5,IER18002J
RM,ER18,32,032-ER18,6,14,2018,38.95769,-106.985601,4326,RTK,2910.7,Tree,Engelmann,TRUE,,,,,,IER18002K
PH,ER18,33,033-ER18,6,15,2018,38.92172,-106.95356,4326,RTK,2799.1,Tree,Aspen,FALSE,,,,,,IER180002
PH,ER18,34,034-ER18,6,15,2018,38.921865,-106.953758,4326,RTK,2796.9,Tree,Aspen,FALSE,,,,,,IER180003
PH,ER18,35,035-ER18,6,15,2018,38.920659,-106.951452,4326,RTK,2784.4,Tree,Engelmann,TRUE,,,,,,IER18002L
PH,ER18,36,036-ER18,6,15,2018,38.920605,-106.951466,4326,RTK,2786.8,Tree,Engelmann,TRUE,,,,,,IER18002M
PH,ER18,37,037-ER18,6,15,2018,38.920454,-106.951341,4326,RTK,2788.3,Tree,Aspen,FALSE,,,,,,IER180004
PH,ER18,38,038-ER18,6,15,2018,38.92037,-106.951345,4326,RTK,2792.3,Tree,Engelmann,TRUE,,,,,,IER18002N
PH,ER18,39,039-ER18,6,15,2018,38.920603,-106.951627,4326,RTK,2791,Tree,Engelmann,TRUE,,,,,,IER18002O
PH,ER18,40,040-ER18,6,15,2018,38.920632,-106.951536,4326,RTK,2787.6,Tree,Engelmann,TRUE,,,,,,IER18002P
PH,ER18,41,041-ER18,6,15,2018,38.919704,-106.951725,4326,RTK,2825.1,Tree,Engelmann,TRUE,,,,,,IER18002Q
PH,ER18,42,042-ER18,6,15,2018,38.919887,-106.951538,4326,RTK,2813.2,Tree,Aspen,FALSE,,,,,,IER180005
SG,ER18,43,043-ER18,6,16,2018,38.927272,-106.980458,4326,RTK,3171.9,Tree,Lodgepole,TRUE,,,,,,IER18004V
PH,ER18,44,044-ER18,6,15,2018,38.920993,-106.950929,4326,RTK,2773.3,Meadow,Meadow,FALSE,91,78,11,11,10,IER18005T
PH,ER18,45,045-ER18,6,15,2018,38.920918,-106.950805,4326,RTK,2774.3,Meadow,Meadow,FALSE,30,15,9,12,11,IER18005U
PH,ER18,46,046-ER18,6,15,2018,38.920866,-106.950966,4326,RTK,2775.6,Meadow,Meadow,FALSE,95,77,6,6,9,IER18005V
PH,ER18,47,047-ER18,6,15,2018,38.920941,-106.9508,4326,RTK,2773.6,Meadow,Meadow,FALSE,45,20,12,12,12,IER18005W
PH,ER18,48,048-ER18,6,15,2018,38.920768,-106.950911,4326,RTK,2777.5,Meadow,Meadow,FALSE,40,21,9,9,7,IER18005X
PH,ER18,49,049-ER18,6,15,2018,,,,,,Meadow,Meadow,FALSE,40,35,7,10,8,IER18005Y
PH,ER18,50,050-ER18,6,15,2018,38.920598,-106.950866,4326,RTK,2781.4,Meadow,Meadow,FALSE,31,23,,,,IER18005Z
PH,ER18,51,051-ER18,6,15,2018,38.920701,-106.951168,4326,RTK,2779.4,Meadow,Meadow,FALSE,50,30,8,9,8,IER180060
PH,ER18,52,052-ER18,6,15,2018,38.920868,-106.950861,4326,RTK,2775.4,Meadow,Meadow,FALSE,101,64,7,6,5,IER180061
PH,ER18,53,053-ER18,6,15,2018,38.920851,-106.951345,4326,RTK,2777.4,Meadow,Meadow,FALSE,65,50,8,9,6,IER180062
PH,ER18,54,054-ER18,6,15,2018,38.920831,-106.951183,4326,RTK,2776.8,Meadow,Meadow,FALSE,76,42,11,9,13,IER180063
PH,ER18,55,055-ER18,6,15,2018,38.923004,-106.949991,4326,RTK,2759.6,Shrub,boothii,FALSE,227.4,,48,54,51,IER18000Y
PH,ER18,56,056-ER18,6,15,2018,38.923082,-106.949648,4326,RTK,2758.8,Shrub,boothii,FALSE,224.1,,46,32,30,IER18000Z
PH,ER18,57,057-ER18,6,15,2018,38.92248,-106.950087,4326,RTK,2759.7,Shrub,planifolia,FALSE,174.1,,38,40,50,IER1800AX
PH,ER18,58,058-ER18,6,15,2018,38.92201,-106.950178,4326,RTK,2760.3,Shrub,boothii,FALSE,212.5,,21,24,18,IER180010
PH,ER18,59,059-ER18,6,15,2018,38.92202,-106.950346,4326,RTK,2761.6,Shrub,DisInv,FALSE,142.3,,3,7,7,IER180023
PH,ER18,60,060-ER18,6,15,2018,38.921769,-106.950522,4326,RTK,2762.9,Shrub,PotFru,FALSE,71.4,,6,7,7,IER1800BH
PH,ER18,61,061-ER18,6,15,2018,38.921533,-106.951738,4326,RTK,2770.3,Shrub,Snowberry,FALSE,180.5,,7,6,5,IER1800BW
PH,ER18,62,062-ER18,6,15,2018,38.921254,-106.951461,4326,RTK,2769.1,Shrub,boothii,FALSE,189.6,,20,34,36,IER180011
PH,ER18,63,063-ER18,6,15,2018,38.921183,-106.951648,4326,RTK,2770.9,Shrub,Snowberry,FALSE,130.5,,7,8,8,IER1800BX
PH,ER18,64,064-ER18,6,15,2018,38.920534,-106.951141,4326,RTK,2783.9,Shrub,Snowberry,FALSE,175.6,,5,5,8,IER1800BY
SG,ER18,65,065-ER18,6,16,2018,38.927266,-106.979171,4326,RTK,3155.2,Meadow,Meadow,FALSE,94,81,7,7,11,IER180064
SG,ER18,66,066-ER18,6,16,2018,38.927241,-106.979332,4326,RTK,3156.9,Meadow,Meadow,FALSE,62,32,7,7,8,IER180065
SG,ER18,67,067-ER18,6,16,2018,38.927039,-106.97924,4326,RTK,3154.3,Meadow,Meadow,FALSE,61,45,6,7,6,IER180066
SG,ER18,68,068-ER18,6,16,2018,38.927114,-106.979363,4326,RTK,3156.2,Meadow,Meadow,FALSE,30,20,4,8,8,IER180067
SG,ER18,69,069-ER18,6,16,2018,38.927235,-106.979413,4326,RTK,3158.6,Meadow,Meadow,FALSE,44,29,6,6,7,IER180068
SG,ER18,70,070-ER18,6,16,2018,38.927161,-106.979503,4326,RTK,3159.7,Meadow,Meadow,FALSE,26,19,11,7,9,IER180069
SG,ER18,71,071-ER18,6,16,2018,38.926902,-106.973515,4326,RTK,3061.8,Meadow,Meadow,FALSE,104,77,7,12,7,IER18006A
SG,ER18,72,072-ER18,6,16,2018,38.926992,-106.973512,4326,RTK,3060.1,Meadow,Meadow,FALSE,85,60,7,10,8,IER18006B
SG,ER18,73,073-ER18,6,16,2018,38.926899,-106.973659,4326,RTK,3065.9,Meadow,Meadow,FALSE,83,55,6,4,7,IER18006C
SG,ER18,74,074-ER18,6,16,2018,38.927083,-106.973191,4326,RTK,3049.3,Meadow,Meadow,FALSE,85,75,9,10,10,IER18006D
SG,ER18,75,075-ER18,6,16,2018,38.92705,-106.973035,4326,RTK,3045.3,Meadow,Meadow,FALSE,86,48,7,6,6,IER18006E
SG,ER18,76,076-ER18,6,16,2018,38.92709,-106.973059,4326,RTK,3045.6,Meadow,Meadow,FALSE,78,34,7,7,9,IER18006F
SG,ER18,77,077-ER18,6,16,2018,38.927026,-106.972878,4326,RTK,3041.8,Meadow,Meadow,FALSE,58,29,6,8,7,IER18006G
SG,ER18,78,078-ER18,6,16,2018,38.927014,-106.972768,4326,RTK,3040,Meadow,Meadow,FALSE,90,73,8,12,13,IER18006H
SG,ER18,79,079-ER18,6,16,2018,38.927011,-106.972682,4326,RTK,3038,Meadow,Meadow,FALSE,95,86,9,7,9,IER18006I
SG,ER18,80,080-ER18,6,16,2018,38.927247,-106.972296,4326,RTK,3030.5,Meadow,Meadow,FALSE,117,99,7,8,8,IER18006J
SG,ER18,81,081-ER18,6,16,2018,38.927043,-106.972648,4326,RTK,3037.1,Meadow,Meadow,FALSE,107,60,7,7,8,IER18006K
SG,ER18,82,082-ER18,6,16,2018,38.927301,-106.972551,4326,RTK,3033.7,Meadow,Meadow,FALSE,30,21,8,7,7,IER18006L
SG,ER18,83,083-ER18,6,16,2018,38.927066,-106.97262,4326,RTK,3036.8,Meadow,Meadow,FALSE,96,57,7,8,7,IER18006M
SG,ER18,84,084-ER18,6,16,2018,38.927547,-106.972431,4326,RTK,3029.2,Meadow,Meadow,FALSE,78,57,7,7,7,IER18006N
SG,ER18,85,085-ER18,6,16,2018,38.92772,-106.978661,4326,RTK,3151.9,Shrub,Elderberry,FALSE,115.9,,9,6,8,IER18002B
SG,ER18,86,086-ER18,6,16,2018,38.927832,-106.977936,4326,RTK,3143.6,Shrub,boothii,FALSE,253.6,,6,7,8,IER180012
SG,ER18,87,087-ER18,6,16,2018,38.927743,-106.977328,4326,RTK,3138.2,Shrub,Elderberry,FALSE,98.4,,6,5,6,IER18002C
SG,ER18,88,088-ER18,6,16,2018,38.926729,-106.97787,4326,RTK,3139.5,Shrub,glauca,FALSE,297.7,,8,7,4,IER18004J
SG,ER18,89,089-ER18,6,16,2018,38.927379,-106.973251,4326,RTK,3044.8,Shrub,boothii,FALSE,302,,5,3,5,IER180013
SG,ER18,90,090-ER18,6,16,2018,38.927458,-106.973341,4326,RTK,3045.6,Shrub,glauca,FALSE,273,,11,10,6,IER18004K
SG,ER18,91,091-ER18,6,16,2018,38.927967,-106.973061,4326,RTK,3032.1,Shrub,boothii,FALSE,285,,47,48,33,IER180014
SG,ER18,92,092-ER18,6,16,2018,38.928202,-106.973124,4326,RTK,3031.1,Shrub,boothii,FALSE,371.1,,9,8,9,IER180015
SG,ER18,93,093-ER18,6,16,2018,38.928463,-106.973402,4326,RTK,3032.9,Shrub,brachy,FALSE,235.2,,63,56,47,IER18001R
SG,ER18,94,094-ER18,6,16,2018,38.928128,-106.97371,4326,RTK,3048,Shrub,Juniper,TRUE,123.4,,4,3,3,IER18004R
SG,ER18,95,095-ER18,6,16,2018,38.927578,-106.979875,4326,RTK,3165.3,Tree,Engelmann,TRUE,,,,,,IER18002R
SG,ER18,96,096-ER18,6,16,2018,38.927245,-106.980659,4326,RTK,3179.6,Tree,Engelmann,TRUE,,,,,,IER18002S
SG,ER18,97,097-ER18,6,16,2018,38.927808,-106.980227,4326,RTK,3169.6,Tree,Aspen,FALSE,,,,,,IER180006
SG,ER18,98,098-ER18,6,16,2018,38.927711,-106.980326,4326,RTK,3170.4,Tree,Lodgepole,TRUE,,,,,,IER18004W
SG,ER18,99,099-ER18,6,16,2018,38.927998,-106.974237,4326,RTK,3068.8,Tree,Lodgepole,TRUE,,,,,,IER18004X
SG,ER18,100,100-ER18,6,16,2018,38.927451,-106.974196,4326,RTK,3076.5,Tree,Lodgepole,TRUE,,,,,,IER18004Y
SG,ER18,101,101-ER18,6,16,2018,38.927544,-106.974263,4326,RTK,3078.8,Tree,Lodgepole,TRUE,,,,,,IER18004Z
SG,ER18,102,102-ER18,6,16,2018,38.927547,-106.973469,4326,RTK,3047.7,Tree,Aspen,FALSE,,,,,,IER180007
SG,ER18,103,103-ER18,6,16,2018,38.927336,-106.972905,4326,RTK,3037.6,Tree,Aspen,FALSE,,,,,,IER180008
BD,ER18,104,104-ER18,6,19,2018,38.987082,-107.00545,4326,RTK,2956.1,Shrub,wolfii,FALSE,163.8,,38,36,61,IER1800CR
BD,ER18,105,105-ER18,6,19,2018,38.986841,-107.00534,4326,RTK,2954.5,Shrub,wolfii,FALSE,131.5,,27,28,32,IER1800CS
BD,ER18,106,106-ER18,6,19,2018,38.986848,-107.004942,4326,RTK,2954.8,Shrub,boothii,FALSE,291,,32,49,43,IER180016
BD,ER18,107,107-ER18,6,19,2018,38.986554,-107.004714,4326,RTK,2952.7,Shrub,boothii,FALSE,239.1,,13,9,12,IER180017
BD,ER18,108,108-ER18,6,19,2018,38.986361,-107.004697,4326,RTK,2951.1,Shrub,boothii,FALSE,212.3,,10,12,12,IER180018
BD,ER18,109,109-ER18,6,19,2018,38.98602,-107.004889,4326,RTK,2947,Shrub,wolfii,FALSE,154.4,,12,11,13,IER1800CT
BD,ER18,110,110-ER18,6,19,2018,38.985411,-107.004924,4326,RTK,2940.3,Shrub,brachy,FALSE,187.9,,60,53,61,IER18001S
BD,ER18,111,111-ER18,6,19,2018,38.985465,-107.004908,4326,RTK,2940.9,Shrub,drumm,FALSE,260.7,,11,7,14,IER180026
BD,ER18,112,112-ER18,6,19,2018,38.986253,-107.005474,4326,RTK,2955.1,Shrub,PotFru,FALSE,105.5,,7,6,8,IER1800BI
BD,ER18,113,113-ER18,6,19,2018,38.986426,-107.00538,4326,RTK,2954.7,Shrub,PotFru,FALSE,74.1,,8,7,11,IER1800BJ
BD,ER18,114,114-ER18,6,19,2018,38.987348,-107.00404,4326,RTK,2967.2,Tree,Engelmann,TRUE,,,,,,IER18002T
BD,ER18,115,115-ER18,6,19,2018,38.9874,-107.003942,4326,RTK,2968.3,Tree,Engelmann,TRUE,,,,,,IER18002U
BD,ER18,116,116-ER18,6,19,2018,38.988511,-107.005581,4326,RTK,2968.5,Tree,Engelmann,TRUE,,,,,,IER18002V
BD,ER18,117,117-ER18,6,19,2018,38.988447,-107.00561,4326,RTK,2967.7,Tree,Engelmann,TRUE,,,,,,IER18002W
BD,ER18,118,118-ER18,6,19,2018,38.989248,-107.006539,4326,RTK,2970.8,Tree,Aspen,FALSE,,,,,,IER180009
BD,ER18,119,119-ER18,6,19,2018,38.989288,-107.00665,4326,RTK,2968.9,Tree,Engelmann,TRUE,,,,,,IER18002X
T403,ER18,120,120-ER18,6,19,2018,38.982461,-107.008865,4326,RTK,2964.2,Tree,SubFir,TRUE,,,,,,IER1800C4
T403,ER18,121,121-ER18,6,19,2018,38.982342,-107.009334,4326,RTK,2978.9,Tree,Engelmann,TRUE,,,,,,IER18002Y
T403,ER18,122,122-ER18,6,19,2018,38.982675,-107.010166,4326,RTK,2997.2,Tree,Aspen,FALSE,,,,,,IER18000A
T403,ER18,123,123-ER18,6,19,2018,38.98303,-107.010221,4326,RTK,2997.3,Tree,Aspen,FALSE,,,,,,IER18000B
WGM,ER18,124,124-ER18,6,19,2018,38.939115,-107.011615,4326,RTK,3021.7,Tree,Engelmann,TRUE,,,,,,IER18002Z
WGM,ER18,125,125-ER18,6,19,2018,38.938981,-107.01153,4326,RTK,3019.1,Tree,Engelmann,TRUE,,,,,,IER180030
WGM,ER18,126,126-ER18,6,19,2018,38.939028,-107.012396,4326,RTK,3015,Tree,Engelmann,TRUE,,,,,,IER180031
WGM,ER18,127,127-ER18,6,19,2018,38.938929,-107.012641,4326,RTK,3011.1,Tree,SubFir,TRUE,,,,,,IER1800C5
WGM,ER18,128,128-ER18,6,19,2018,38.939784,-107.013703,4326,RTK,3017.6,Tree,Aspen,FALSE,,,,,,IER18000C
WGM,ER18,129,129-ER18,6,19,2018,38.939684,-107.013776,4326,RTK,3014.8,Tree,Aspen,FALSE,,,,,,IER18000D
WGM,ER18,130,130-ER18,6,19,2018,38.937274,-107.013489,4326,RTK,2973.4,Tree,Aspen,FALSE,,,,,,IER18000E
WGM,ER18,131,131-ER18,6,19,2018,38.937385,-107.012876,4326,RTK,2972.3,Tree,Engelmann,TRUE,,,,,,IER180032
WGM,ER18,132,132-ER18,6,19,2018,38.937293,-107.011603,4326,RTK,2983.1,Tree,Aspen,FALSE,,,,,,IER18000F
WGM,ER18,133,133-ER18,6,19,2018,38.936757,-107.011946,4326,RTK,2974.8,Tree,Aspen,FALSE,,,,,,IER18000G
WGM,ER18,134,134-ER18,6,19,2018,38.937038,-107.013136,4326,RTK,2970.1,Shrub,boothii,FALSE,237.9,,12,11,8,IER180019
WGM,ER18,135,135-ER18,6,19,2018,38.936883,-107.012693,4326,RTK,2968.1,Shrub,boothii,FALSE,234.9,,41,45,26,IER18001A
WGM,ER18,136,136-ER18,6,19,2018,38.936861,-107.01241,4326,RTK,2967.6,Shrub,PotFru,FALSE,54.1,,15,13,10,IER1800BK
WGM,ER18,137,137-ER18,6,19,2018,38.936339,-107.012625,4326,RTK,2962.6,Shrub,planifolia,FALSE,172.7,,14,15,10,IER1800AY
WGM,ER18,138,138-ER18,6,19,2018,38.935903,-107.012049,4326,RTK,2963.9,Shrub,Sage,FALSE,29.9,,9,5,7,IER1800BU
WGM,ER18,139,139-ER18,6,19,2018,38.935431,-107.012225,4326,RTK,2957.2,Shrub,Sage,FALSE,55,,4,7,5,IER1800BV
WGM,ER18,140,140-ER18,6,19,2018,38.935454,-107.013524,4326,RTK,2952.9,Shrub,boothii,FALSE,202.5,,15,20,21,IER18001B
WGM,ER18,141,141-ER18,6,19,2018,38.93567,-107.013317,4326,RTK,2955.6,Shrub,planifolia,FALSE,204.3,,11,24,14,IER1800AZ
WGM,ER18,142,142-ER18,6,19,2018,38.936354,-107.013071,4326,RTK,2962.7,Shrub,Willow,FALSE,183.6,,20,17,28,IER1800CJ
WGM,ER18,143,143-ER18,6,19,2018,38.936866,-107.013154,4326,RTK,2968.2,Shrub,planifolia,FALSE,215.4,,28,20,22,IER1800B0
BD,ER18,144,144-ER18,6,20,2018,38.98771,-107.002443,4326,RTK,2990.7,Meadow,Meadow,FALSE,43,25,12,15,11,IER18006O
BD,ER18,145,145-ER18,6,20,2018,38.987809,-107.002469,4326,RTK,2991.4,Meadow,Meadow,FALSE,40,24,10,10,10,IER18006P
BD,ER18,146,146-ER18,6,20,2018,38.987631,-107.002637,4326,RTK,2987.1,Meadow,Meadow,FALSE,88,71,11,12,11,IER18006Q
BD,ER18,147,147-ER18,6,20,2018,38.987527,-107.002882,4326,RTK,2983.4,Meadow,Meadow,FALSE,79,60,12,12,17,IER18006R
BD,ER18,148,148-ER18,6,20,2018,38.987276,-107.003089,4326,RTK,2979.4,Meadow,Meadow,FALSE,38,26,10,11,11,IER18006S
BD,ER18,149,149-ER18,6,20,2018,38.98745,-107.003168,4326,RTK,2979.4,Meadow,Meadow,FALSE,41,1,16,11,16,IER18006T
BD,ER18,150,150-ER18,6,20,2018,38.987137,-107.003327,4326,RTK,2975.7,Meadow,Meadow,FALSE,62,48,16,14,16,IER18006U
BD,ER18,151,151-ER18,6,20,2018,38.987337,-107.003229,4326,RTK,2978.3,Meadow,Meadow,FALSE,61,41,10,12,15,IER18006V
BD,ER18,152,152-ER18,6,20,2018,38.986541,-107.004165,4326,RTK,2959.7,Meadow,Meadow,FALSE,47,28,17,12,13,IER18006W
BD,ER18,153,153-ER18,6,20,2018,38.987249,-107.003371,4326,RTK,2976.1,Meadow,Meadow,FALSE,76,49,19,19,19,IER18006X
T403,ER18,154,154-ER18,6,20,2018,38.982841,-107.009746,4326,RTK,2982.4,Meadow,Meadow,FALSE,85,77,8,8,8,IER18006Y
BD,ER18,155,155-ER18,6,20,2018,38.987252,-107.003734,4326,RTK,2972.4,Meadow,Meadow,FALSE,43,24,10,12,14,IER18006Z
T403,ER18,156,156-ER18,6,20,2018,38.982871,-107.009586,4326,RTK,2978.1,Meadow,Meadow,FALSE,55,30,12,11,14,IER180070
T403,ER18,157,157-ER18,6,20,2018,38.982859,-107.009452,4326,RTK,2973.7,Meadow,Meadow,FALSE,44,27,9,10,10,IER180071
